ridership_route_code,current_garage,year_month,day_type,on_time_percent,avg_riders,day_count,daily_trip_dist,daily_trip_count,year,month,current_garage_code,day_type_code
041,Collier,201701,SAT.,0.8469,464,4,427.194,36,2017,01,0,0
041,Collier,201701,SUN.,0.5709,279,5,284.796,24,2017,01,0,1
043,Collier,201701,WEEKDAY,0.6667,701,22,224.642,44,2017,01,0,2
043,Collier,201701,SAT.,0.5645,279,4,183.798,36,2017,01,0,0
043,Collier,201701,SUN.,0.6174,228,5,163.376,32,2017,01,0,1
044,Collier,201701,WEEKDAY,0.7661,968,22,743.136,64,2017,01,0,2
044,Collier,201701,SAT.,0.7324,285,4,170.52,28,2017,01,0,0
044,Collier,201701,SUN.,0.7977,209,5,170.52,28,2017,01,0,1
048,Collier,201701,WEEKDAY,0.7288,2957,22,538.604,88,2017,01,0,2
048,Collier,201701,SAT.,0.6218,1867,4,452.917,74,2017,01,0,0
048,Collier,201701,SUN.,0.757,877,5,269.302,44,2017,01,0,1
051,West Mifflin,201701,WEEKDAY,0.6963,7398,22,1990.938,206,2017,01,4,2
051,West Mifflin,201701,SAT.,0.6871,4542,4,1687.914,122,2017,01,4,0
051,West Mifflin,201701,SUN.,0.74,2743,5,1054.998,76,2017,01,4,1
051L,West Mifflin,201701,WEEKDAY,0.6764,702,22,122.263,26,2017,01,4,2
052L,West Mifflin,201701,WEEKDAY,0.5919,408,22,240.82,20,2017,01,4,2
053,West Mifflin,201701,SAT.,0.764,299,4,307.326,34,2017,01,4,0
053L,West Mifflin,201701,WEEKDAY,0.6432,1288,22,913.126,55,2017,01,4,2
054,Ross,201701,WEEKDAY,0.6554,3775,22,1376.747,114,2017,01,3,2
054,Ross,201701,SAT.,0.6184,2311,4,970.692,81,2017,01,3,0
054,Ross,201701,SUN.,0.6581,1190,5,527.564,44,2017,01,3,1
055,West Mifflin,201701,WEEKDAY,0.8016,803,22,844.173,35,2017,01,4,2
055,West Mifflin,201701,SAT.,0.8384,610,4,844.173,35,2017,01,4,0
055,West Mifflin,201701,SUN.,0.7471,419,5,795.387,33,2017,01,4,1
056,West Mifflin,201701,WEEKDAY,0.701,1618,22,931.534,60,2017,01,4,2
056,West Mifflin,201701,SAT.,0.7886,605,4,475.082,34,2017,01,4,0
056,West Mifflin,201701,SUN.,0.7762,429,5,447.136,32,2017,01,4,1
057,West Mifflin,201701,WEEKDAY,0.7403,1153,22,559.705,62,2017,01,4,2
057,West Mifflin,201701,SAT.,0.6512,858,4,343.045,38,2017,01,4,0
057,West Mifflin,201701,SUN.,0.7569,602,5,324.99,36,2017,01,4,1
058,East Liberty,201701,WEEKDAY,0.6883,1139,22,591.682,52,2017,01,1,2
058,East Liberty,201701,SAT.,0.6677,244,4,273.084,24,2017,01,1,0
058,East Liberty,201701,SUN.,0.7425,155,5,204.813,18,2017,01,1,1
059,West Mifflin,201701,WEEKDAY,0.7074,1835,22,1280.654,38,2017,01,4,2
059,West Mifflin,201701,SAT.,0.7193,1641,4,1212.351,36,2017,01,4,0
059,West Mifflin,201701,SUN.,0.7561,1007,5,939.139,28,2017,01,4,1
060,West Mifflin,201701,WEEKDAY,0.7407,462,22,170.26,30,2017,01,4,2
061A,West Mifflin,201701,WEEKDAY,0.6263,4466,22,1263.222,108,2017,01,4,2
061A,West Mifflin,201701,SAT.,0.746,2823,4,1005.899,86,2017,01,4,0
061A,West Mifflin,201701,SUN.,0.6947,1961,5,748.576,64,2017,01,4,1
061B,West Mifflin,201701,WEEKDAY,0.6642,4035,22,1093.374,114,2017,01,4,2
061B,West Mifflin,201701,SAT.,0.7754,2271,4,939.918,98,2017,01,4,0
061B,West Mifflin,201701,SUN.,0.6217,1477,5,633.006,66,2017,01,4,1
061C,West Mifflin,201701,WEEKDAY,0.6477,5764,22,1712.451,114,2017,01,4,2
061C,West Mifflin,201701,SAT.,0.6728,3764,4,1412.021,94,2017,01,4,0
061C,West Mifflin,201701,SUN.,0.6128,2722,5,991.419,66,2017,01,4,1
061D,West Mifflin,201701,WEEKDAY,0.6759,4859,22,1223.222,131,2017,01,4,2
061D,West Mifflin,201701,SAT.,0.6071,3213,4,912.916,92,2017,01,4,0
061D,West Mifflin,201701,SUN.,0.5907,2148,5,575.534,58,2017,01,4,1
064,East Liberty/West Mifflin,201701,WEEKDAY,0.6878,1567,22,378.6,40,2017,01,2,2
064,East Liberty/West Mifflin,201701,SAT.,0.7174,1386,4,350.205,37,2017,01,2,0
064,East Liberty/West Mifflin,201701,SUN.,0.7343,815,5,217.695,23,2017,01,2,1
065,West Mifflin,201701,WEEKDAY,0.6899,391,22,118.802,26,2017,01,4,2
067,East Liberty,201701,WEEKDAY,0.6526,1953,22,964.194,57,2017,01,1,2
067,East Liberty,201701,SAT.,0.6417,738,4,452.709,38,2017,01,1,0
067,East Liberty,201701,SUN.,0.7663,453,5,275.355,20,2017,01,1,1
068,East Liberty,201701,WEEKDAY,0.7612,303,22,203.552,17,2017,01,1,2
068,East Liberty,201701,SAT.,0.7204,347,4,239.5,20,2017,01,1,0
068,East Liberty,201701,SUN.,0.7848,171,5,167.65,14,2017,01,1,1
